identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
753,258,19,158,100,263.2518046470609
754,7,3,5,2,361.4928125
755,14,12,12,2,1386.0380555555557
757,33,11,17,16,64.64923958333334
758,26,8,16,10,518.4889033564815
759,25,6,15,10,1238.0441288580248
760,14,3,11,3,730.4465354938271
761,31,9,17,14,708.1414284979423
762,2,1,1,1,480.0
764,2,1,1,1,324.66791666666666
765,52,7,27,25,580.8294706014884
766,8,4,6,2,1171.1999444444443
767,99,22,50,49,475.15107464799513
768,568,61,288,280,114.55597058684023
770,47,12,26,21,19.912788900913906
771,82,5,62,20,380.1498123221462
773,100,20,53,47,30.127345538720544
774,13,4,9,4,1012.2980787037036
775,10,3,9,1,334.1498148148148
776,131,25,73,58,154.55069125593542
777,18,6,9,9,522.0093055555557
778,39,9,22,17,567.1533919753086
779,10,4,7,3,1456.1271875000002
780,28,10,16,12,700.7942541152263
783,20,4,11,9,557.7946025132276
784,49,7,41,8,498.5297958095697
785,74,5,47,27,158.10515037720566
786,64,16,38,26,391.31496064814814
787,7,4,5,2,0.8521990740740741
788,1936,51,1398,538,62.90920758533086
789,29,10,16,13,132.45647890946503
790,1078,25,581,497,65.19932250622043
792,33,9,17,16,736.3959706790124
793,3,2,2,1,2437.2193055555554
794,458,71,371,87,261.7289893229923
795,12,4,7,5,1675.3636342592595
796,49,14,26,23,538.2173396672772
797,7,4,5,2,3224.983472222222
798,41,7,22,19,387.0294863315697
799,7568,94,4811,2757,54.58996544482368
800,66,16,35,31,288.34852471891537
801,34,13,17,17,680.0507268518519
802,15,8,10,5,1248.163925925926
803,3,2,2,1,12.00013888888889
804,1916,110,1058,858,170.78859872404712
806,6408,88,3254,3154,58.41580375710073
807,545,32,279,266,52.69991809032638
808,5,3,4,1,29.650069444444444
809,64,15,26,38,199.10510462962966
810,196,38,151,45,159.8442708036562
811,372,11,322,50,229.05247779532675
812,10,1,8,2,168.11108333333334
813,8,4,4,4,1309.6238194444445
814,19,7,17,2,230.7811408730159
815,11,3,6,5,634.2850231481482
816,23,6,17,6,758.6128611111111
817,27,9,13,14,332.1421412037037
818,17,8,10,7,367.6298677248677
819,1275,65,649,626,124.00159310122643
820,16,7,8,8,1195.6228670634919
821,122,14,112,10,263.4969521565361
822,32,9,19,13,1319.650462962963
823,50,18,25,25,174.483191872428
824,18,6,17,1,2027.0765879629635
825,12,4,8,4,646.4111875
826,15,6,11,4,1126.2458925925926
827,41,18,26,15,773.8774554843305
828,12,5,6,6,795.6478333333333
829,26,7,14,12,753.4758763227512
830,256,20,127,129,45.09177904541446
831,7,3,5,2,1824.123024691358
833,1159,47,592,567,128.5304878724342
834,16,4,11,5,382.2392845117845
835,37,16,34,3,1538.0222037037038
836,5,2,3,2,2509.2238888888887
838,219,36,113,106,174.0828444159612
839,183,8,172,11,128.73897108348268
840,59,11,33,26,246.73134974747475
841,3,2,2,1,2302.6019444444446
843,5,3,4,1,296.3948148148148
844,31,9,16,15,102.3630663580247
845,96,15,49,47,213.68799164113986
846,54,7,47,7,725.4861000881835
847,51,11,27,24,259.114290719697
848,9,4,7,2,860.2756481481482
849,287,36,144,143,83.7457917577791
850,32,16,29,3,225.08621422558926
851,251,27,137,114,76.59602488152171
852,34,16,23,11,2721.0161172839507
853,19,11,18,1,510.62684606481486
854,18,8,10,8,903.6636053240741
855,9,5,5,4,1254.0236458333334
856,22,4,12,10,941.3208449074074
857,21,7,11,10,1092.2455555555555
858,15,5,9,6,253.07345833333335
861,159,16,81,78,181.47741259020972
862,6,5,5,1,0.0725
863,20,5,10,10,69.29204861111111
864,8,3,5,3,2.3314814814814815
865,14,3,8,6,131.79937059082894
866,54,14,40,14,565.7182116402116
867,23,7,13,10,10.535099206349205
869,264,41,134,130,64.07545529753965
871,30,11,15,15,569.1672348484849
872,3,1,2,1,80.0
873,7,6,6,1,0.8601388888888889
874,88,28,54,34,974.9615081727134
875,10,4,5,5,90.03195601851851
876,97,5,79,18,317.78320184108725
877,2,1,1,1,0.08541666666666667
878,38,5,34,4,172.96541435878936
879,4,2,2,2,48.00833333333333
880,141,33,79,62,502.94048066311274
882,4,2,2,2,342.2500694444444
883,46,9,40,6,1028.3258971193416
884,28,11,18,10,1749.072127314815
885,24,11,14,10,722.9111706349206
886,47,8,25,22,706.193122131919
887,75,20,46,29,17.209903935185185
888,9,5,8,1,1046.0639969135802
889,6,1,3,3,932.0251851851853
890,319,29,243,76,168.5433524986211
891,24,6,18,6,615.9412345679012
892,16,6,8,8,530.3104555555556
893,12,5,6,6,893.9100833333332
894,51,14,26,25,278.5673757558579
895,33,11,20,13,1376.1672895622896
897,16,6,8,8,86.92779783950618
898,1980,44,1122,858,189.54485290580067
899,27,6,26,1,935.6248930555555
900,489,39,251,238,145.73520322747396
901,4,3,3,1,0.09152777777777778
902,49,14,26,23,309.866913040663
903,21,5,11,10,1101.4495271164021
904,2065,48,1227,838,117.67419650095344
905,3,2,2,1,72.20861111111111
907,3,1,2,1,1552.0484259259258
