identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
2510,14,7,7,7,58.315853,Cluster 3
2512,4,2,3,1,128.13074,Cluster 3
2513,9,5,7,2,9.205625,Cluster 3
2514,4,2,2,2,222.40881,Cluster 3
2516,99,28,48,51,57.598446,Cluster 3
2517,2,1,1,1,204.40388,Cluster 3
2518,18,7,13,5,127.43032,Cluster 3
2519,8,2,5,3,206.12103,Cluster 3
2520,41,17,24,17,44.716797,Cluster 3
2521,147,37,83,64,22.633396,Cluster 3
2523,21,7,11,10,123.26206,Cluster 3
2524,22,8,17,5,149.07957,Cluster 3
2525,11,6,6,5,60.42228,Cluster 3
2526,35,12,22,13,141.27031,Cluster 3
2527,233,34,136,97,19.898113,Cluster 3
2529,13,5,10,3,93.164536,Cluster 3
2530,6,3,3,3,11.38162,Cluster 3
2531,7,4,5,2,150.62613,Cluster 3
2532,10,4,5,5,162.5381,Cluster 3
2533,2,1,1,1,2.3356946,Cluster 3
2534,102,15,58,44,65.68522,Cluster 3
2535,12,7,8,4,321.63586,Cluster 3
2536,12,9,9,3,76.61773,Cluster 3
2537,16,6,10,6,375.88297,Cluster 3
2538,32,19,19,13,139.5029,Cluster 3
2539,2,1,1,1,0.05111111,Cluster 3
2540,94,16,55,39,71.15271,Cluster 3
2541,4,1,2,2,305.89056,Cluster 3
2543,88,26,48,40,56.844254,Cluster 3
2544,30,9,15,15,32.26251,Cluster 3
2545,29,7,21,8,59.022896,Cluster 3
2547,2,1,1,1,0.084305555,Cluster 3
2548,112,29,60,52,33.133827,Cluster 3
2550,13,4,6,7,13.9575,Cluster 3
2552,17,8,12,5,53.482952,Cluster 3
2553,9,7,7,2,324.0539,Cluster 3
2554,7,3,4,3,211.30309,Cluster 3
2556,8,5,5,3,337.3612,Cluster 3
2557,87,30,46,41,29.91322,Cluster 3
2558,12,4,8,4,245.1866,Cluster 3
2559,4,2,2,2,6.2225,Cluster 3
2560,42,15,25,17,37.31522,Cluster 3
2561,11,5,6,5,6.6414165,Cluster 3
2562,23,17,19,4,359.66232,Cluster 3
2563,3,1,2,1,0.22888888,Cluster 3
2564,20,8,11,9,25.408703,Cluster 3
2565,6,3,4,2,256.18967,Cluster 3
2566,9,5,5,4,16.566355,Cluster 3
2567,262,34,145,117,11.724008,Cluster 3
2569,3,1,2,1,24.0,Cluster 3
2570,10,6,8,2,62.867794,Cluster 3
2571,57,17,31,26,20.566465,Cluster 3
2572,14,6,13,1,276.20578,Cluster 3
2575,8,2,5,3,98.95142,Cluster 3
2576,5,2,3,2,60.6575,Cluster 3
2577,66,8,39,27,25.17374,Cluster 3
2578,27,12,14,13,61.4329,Cluster 3
2579,19,10,11,8,19.960989,Cluster 3
2580,37,13,22,15,5.103514,Cluster 3
2581,16,4,9,7,30.727755,Cluster 3
2582,19,11,12,7,27.052856,Cluster 3
2583,11,6,6,5,64.51989,Cluster 3
2585,25,7,14,11,55.470352,Cluster 3
2586,4,1,2,2,0.61493057,Cluster 3
2587,5,2,4,1,0.39962962,Cluster 3
2589,19,6,16,3,224.15768,Cluster 3
2590,6,5,5,1,0.47013888,Cluster 3
2592,21,11,13,8,115.77908,Cluster 3
2593,12,6,7,5,67.99997,Cluster 3
2596,33,11,18,15,104.17709,Cluster 3
2597,5,3,4,1,0.22314815,Cluster 3
2598,4,2,2,2,200.19176,Cluster 3
2599,11,4,7,4,84.44717,Cluster 3
2600,11,3,6,5,61.48919,Cluster 3
2601,17,9,13,4,204.2576,Cluster 3
2603,36,12,18,18,11.704519,Cluster 3
2605,37,9,20,17,2.5582478,Cluster 3
2606,59,15,30,29,8.058022,Cluster 3
2608,19,3,11,8,55.659946,Cluster 3
2609,4,2,3,1,0.128125,Cluster 3
2611,10,4,5,5,92.869965,Cluster 3
2613,9,4,5,4,0.6631944,Cluster 3
2614,7,6,6,1,2.0680556,Cluster 3
2615,6,3,4,2,0.9589583,Cluster 3
2619,11,3,8,3,103.4698,Cluster 3
2620,49,14,27,22,40.33093,Cluster 3
2621,13,8,10,3,51.19426,Cluster 3
2622,4,2,2,2,0.03361111,Cluster 3
2623,2,1,1,1,0.86,Cluster 3
2624,14,5,11,3,46.248413,Cluster 3
2625,2,1,1,1,1.1227778,Cluster 3
2627,29,10,14,15,34.652214,Cluster 3
2628,80,36,44,36,16.73606,Cluster 3
2630,5,3,3,2,1.1148611,Cluster 3
2633,15,8,8,7,79.10482,Cluster 3
2634,16,6,9,7,47.108032,Cluster 3
2636,15,9,14,1,163.15791,Cluster 3
2638,6,3,4,2,0.8864352,Cluster 3
2639,13,4,7,6,42.19507,Cluster 3
2641,9,8,8,1,1.2648611,Cluster 3
2642,4,2,2,2,77.25243,Cluster 3
2643,9,4,7,2,43.296017,Cluster 3
2644,33,10,19,14,71.05491,Cluster 3
2645,5,3,3,2,58.77222,Cluster 3
2646,3,2,2,1,0.62708336,Cluster 3
2647,39,15,25,14,48.776573,Cluster 3
2648,22,3,12,10,38.26684,Cluster 3
2649,11,3,9,2,17.24693,Cluster 3
2651,7,4,5,2,0.63277775,Cluster 3
2652,5,2,3,2,20.017384,Cluster 3
2655,30,10,16,14,24.663067,Cluster 3
2657,13,6,7,6,26.376041,Cluster 3
2660,4,2,2,2,252.0,Cluster 3
2661,8,3,6,2,137.10574,Cluster 3
2664,6,3,4,2,72.14729,Cluster 3
2665,13,5,8,5,4.8775387,Cluster 3
2666,12,6,6,6,42.561993,Cluster 3
2668,6,3,4,2,44.729443,Cluster 3
2669,6,4,4,2,4.8770137,Cluster 3
2670,38,13,30,8,55.73781,Cluster 3
2671,15,4,9,6,5.262992,Cluster 3
2672,8,4,4,4,6.775451,Cluster 3
2673,13,4,7,6,33.126442,Cluster 3
2674,9,4,5,4,2.760023,Cluster 3
2675,9,4,5,4,5.0773845,Cluster 3
2677,17,9,9,8,13.547535,Cluster 3
2678,7,4,4,3,12.605,Cluster 3
2680,12,5,7,5,116.9817,Cluster 3
2683,14,4,7,7,73.76985,Cluster 3
2684,11,5,7,4,54.61302,Cluster 3
2685,55,18,32,23,1.3331857,Cluster 3
2687,13,6,8,5,48.011333,Cluster 3
2690,3,2,2,1,61.62847,Cluster 3
2693,10,3,7,3,32.150875,Cluster 3
2694,19,9,10,9,31.598959,Cluster 3
2695,20,10,17,3,10.696482,Cluster 3
2696,48,14,41,7,11.224264,Cluster 3
2698,9,2,5,4,18.262014,Cluster 3
2700,15,6,9,6,5.475213,Cluster 3
